StudentID,Gender,Age,ParentEducation,InternetAccess,StudyHoursPerWeek,Absences,PriorFailures,FinalGrade
2085,Female,24,Master,Yes,18,23,1,37
2086,Female,26,Unknown,No,24,7,4,51
2087,Male,18,Bachelor,Yes,17,18,1,59
2088,Female,23,Associate,Unknown,20,1,3,39
2089,Female,21,Associate,Yes,13,6,1,70
2090,Female,20,Unknown,Unknown,22,15,2,51
2091,Female,22,Master,No,2,0,2,47
2093,Female,21,High School,Yes,2,13,2,47
2094,Male,25,Master,No,15,2,3,43
2095,Female,19,Master,No,5,13,3,41
2096,Female,26,Unknown,Unknown,16,22,0,79
2097,Female,18,Master,Yes,16,17,1,52
2098,Female,19,Associate,Yes,14,21,0,50
2099,Male,22,Bachelor,Yes,10,26,3,56
2100,Male,25,Associate,Yes,10,2,4,52
2101,Female,20,Master,Yes,14,5,4,60
2102,Male,22,Bachelor,Yes,23,26,3,42
2103,Female,26,High School,Yes,14,12,4,38
2104,Female,21,Unknown,Yes,24,22,1,63
2105,Male,22,Master,No,3,10,0,44
2106,Female,24,Unknown,Yes,20,4,1,91
2107,Female,20,Bachelor,Yes,13,26,2,33
2108,Female,25,Unknown,No,13,28,0,62
2109,Female,25,Master,No,18,10,0,90
2110,Female,25,Master,Yes,6,1,1,62
2111,Female,22,Associate,Yes,1,27,0,42
2112,Female,25,Unknown,Yes,12,11,3,32
2113,Female,26,Unknown,No,7,24,1,49
2114,Female,22,Associate,Unknown,13,23,4,4
2115,Female,18,Associate,Unknown,24,26,1,63
2116,Female,25,Unknown,No,20,23,4,50
2117,Male,24,Bachelor,Unknown,23,0,1,100
2118,Female,21,Bachelor,No,17,17,3,47
2119,Female,22,High School,No,3,7,2,40
2120,Female,19,Associate,Yes,16,20,3,54
2121,Female,19,Bachelor,Unknown,15,21,3,45
2122,Male,25,Master,Yes,2,18,2,45
2123,Male,20,Master,Yes,5,1,4,28
2124,Female,25,Associate,No,21,16,3,74
2125,Male,26,Master,No,3,7,2,51
2126,Male,22,High School,Yes,13,18,2,55
2127,Female,22,Master,Yes,16,22,1,62
2128,Male,22,High School,No,12,3,0,84
2129,Male,25,Unknown,Yes,21,9,1,83
2130,Male,25,Master,Yes,13,10,0,56
2131,Female,22,Master,Yes,22,13,3,69
2132,Male,19,Bachelor,No,19,13,1,58
2133,Male,23,Unknown,No,13,25,3,37
2134,Female,23,Associate,Unknown,12,10,2,66
2135,Female,26,Associate,Yes,16,24,1,69
2136,Female,23,High School,Yes,18,10,4,41
2137,Male,19,Master,Yes,23,3,2,76
2138,Female,18,Master,No,13,25,4,29
2139,Female,24,Master,No,3,24,4,4
2140,Female,18,Bachelor,Yes,9,22,0,52
2141,Female,22,Associate,Yes,21,9,4,51
2142,Female,24,Master,Yes,17,13,1,83
2143,Female,22,Unknown,Yes,2,17,3,8
2144,Male,23,Associate,Yes,13,16,4,31
2145,Female,21,Unknown,Yes,13,5,0,65
2146,Female,22,Unknown,No,21,4,4,57
2147,Female,24,High School,Yes,5,18,3,42
2148,Male,20,High School,Unknown,2,5,1,53
2149,Female,23,Bachelor,Yes,18,10,4,46
2150,Male,20,Bachelor,No,5,11,2,49
2151,Male,22,Bachelor,No,10,2,3,42
2152,Male,21,High School,No,13,14,4,23
2153,Female,20,Master,Yes,13,23,3,38
2154,Female,22,Associate,Yes,2,3,3,43
2155,Male,26,Associate,Unknown,23,21,3,55
2156,Female,18,High School,No,8,12,3,29
2157,Female,24,Bachelor,Yes,3,13,0,43
2158,Female,26,Bachelor,Yes,21,13,0,85
2159,Female,26,Associate,Yes,10,5,0,61
2160,Female,23,Master,Unknown,3,10,3,40
2161,Male,24,Master,Unknown,15,29,1,61
2162,Female,23,Master,Yes,10,22,2,32
2163,Male,24,Unknown,Unknown,15,2,0,68
2165,Male,22,Associate,Yes,21,14,0,89
2166,Female,18,Unknown,Unknown,16,6,2,75
2167,Male,26,Bachelor,No,24,3,0,93
2168,Male,18,High School,Yes,20,11,3,61
2169,Female,23,High School,No,13,24,0,68
2170,Female,24,Master,No,1,14,1,35
2171,Female,24,Bachelor,No,13,29,3,14
2172,Female,26,Unknown,Yes,7,26,1,52
2173,Female,26,Associate,Unknown,24,17,4,47
2174,Female,22,High School,Yes,18,7,4,44
2175,Female,22,Unknown,Yes,4,26,4,15
2176,Female,18,Master,Yes,21,14,2,63
2177,Male,19,Bachelor,No,7,5,0,60
2178,Male,18,High School,No,17,16,0,81
2179,Female,25,Unknown,Yes,19,26,3,35
2180,Female,23,High School,No,14,18,1,60
2181,Male,22,High School,No,23,0,1,100
2182,Male,25,High School,No,20,20,3,67
2183,Female,20,Associate,No,8,20,4,37
2184,Female,21,Master,Unknown,10,23,1,64
2185,Male,23,Unknown,No,7,22,0,63
2186,Female,23,Bachelor,No,1,7,2,41
2187,Female,22,Unknown,Yes,9,13,1,66
2188,Female,20,Master,Yes,2,6,0,38
2189,Female,24,Unknown,Yes,4,23,4,21
2190,Female,25,Master,Yes,13,29,2,39
2191,Male,22,High School,No,5,8,4,37
2193,Female,23,Associate,No,2,10,4,26
2194,Female,25,Associate,Unknown,16,2,3,73
2195,Male,21,High School,Yes,14,14,0,64
2196,Female,19,Bachelor,Unknown,9,20,4,36
2197,Female,21,High School,Yes,6,19,3,46
2198,Male,21,Master,Unknown,13,27,3,43
2200,Female,21,Associate,Yes,23,4,4,81
2201,Female,23,Master,Yes,13,15,3,46
2202,Male,24,High School,No,13,26,0,55
2203,Male,25,Associate,No,23,22,0,67
2204,Male,24,Master,No,9,29,4,28
2205,Male,23,High School,Unknown,2,5,2,41
2206,Male,25,High School,No,24,29,1,70
2207,Female,19,Bachelor,Yes,5,6,4,29
2208,Female,19,Associate,Yes,12,14,3,56
2209,Female,24,Master,Unknown,10,29,2,57
2210,Female,24,Bachelor,No,10,21,2,58
2211,Female,22,Unknown,Unknown,19,17,1,69
2212,Female,18,Bachelor,No,11,8,1,71
2213,Female,21,High School,Yes,12,13,2,51
2214,Male,26,Unknown,No,17,14,0,85
2215,Female,23,High School,Yes,1,2,3,28
2216,Female,21,Master,Unknown,4,21,4,27
2217,Male,21,Bachelor,No,5,18,2,43
2218,Female,26,Master,No,14,6,1,71
2219,Female,25,Bachelor,No,14,10,1,85
2220,Male,18,Master,Unknown,21,1,1,74
2221,Male,19,High School,Yes,3,0,2,47
2222,Female,25,Unknown,Unknown,18,5,1,76
2223,Male,20,Unknown,No,3,29,0,33
2224,Female,21,Unknown,No,11,2,0,73
2226,Female,23,Master,No,13,18,3,24
2227,Female,18,High School,No,16,4,0,87
2229,Female,23,Master,Yes,21,10,3,53
2230,Female,26,High School,Yes,13,23,3,34
2231,Male,25,Master,Yes,16,22,2,58
2232,Female,25,Unknown,Yes,14,23,3,34
2233,Male,22,Master,Yes,7,26,4,40
2234,Male,23,Master,Yes,10,3,4,49
2235,Male,19,Associate,No,8,4,0,61
2236,Female,26,Unknown,Yes,17,11,4,33
2237,Male,24,Unknown,Yes,24,14,4,54
2238,Female,26,Bachelor,No,13,0,2,58
2239,Female,22,Associate,No,23,25,3,53
2241,Female,25,Associate,Yes,2,23,1,36
2242,Male,19,Unknown,Yes,3,19,1,42
2243,Female,24,Bachelor,Unknown,23,8,2,67
2244,Male,20,High School,Unknown,18,27,0,88
2245,Male,24,Associate,Yes,15,24,4,44
2246,Male,23,Associate,Yes,15,19,4,32
2248,Female,18,Master,Unknown,13,16,4,44
2249,Male,21,High School,Unknown,17,26,0,75
2250,Female,20,Associate,No,13,3,4,51
2251,Male,20,High School,Unknown,18,2,1,78
2252,Female,25,Master,No,12,15,4,38
2253,Female,23,Master,No,22,8,0,86
2255,Male,18,Master,Yes,13,16,4,39
2256,Male,18,Unknown,No,11,21,3,38
2257,Female,21,Master,Yes,16,6,2,73
2258,Female,25,Master,Yes,13,15,0,79
2259,Female,19,Associate,No,23,12,0,91
2260,Female,26,Bachelor,Unknown,4,17,1,61
2262,Female,23,High School,Yes,19,1,1,96
2263,Female,18,Bachelor,Unknown,1,10,1,53
2264,Female,19,Unknown,Yes,14,13,1,65
2265,Female,18,Unknown,Yes,13,19,3,43
2266,Female,25,Associate,No,5,15,1,41
2267,Female,25,Associate,Unknown,17,10,4,66
2268,Male,23,Unknown,Unknown,7,18,0,55
2270,Male,19,High School,Yes,16,28,2,52
2271,Male,23,High School,Yes,24,8,3,62
2272,Female,24,Master,No,14,26,3,35
2274,Female,18,Master,Yes,2,7,4,26
2275,Male,24,Unknown,No,6,23,0,67
2276,Female,22,High School,Unknown,22,24,4,60
2277,Male,19,High School,Yes,3,6,2,46
2278,Male,22,Unknown,No,2,24,2,21
2279,Female,20,Bachelor,Unknown,11,3,0,81
2280,Male,20,Unknown,Yes,21,20,0,66
2281,Male,19,Unknown,No,7,22,3,53
2282,Male,18,High School,No,10,3,3,64
2283,Female,19,High School,Unknown,24,27,4,30
2284,Female,19,Bachelor,No,15,15,2,65
2285,Female,24,Associate,Yes,2,24,4,14
2286,Female,24,High School,Yes,23,3,3,63
2287,Male,21,Associate,No,4,8,1,59
2288,Female,24,High School,Unknown,7,2,0,51
2290,Female,25,Master,Unknown,8,22,2,33
2291,Male,24,High School,No,23,9,1,71
2292,Female,19,Unknown,Unknown,7,3,2,49
2293,Female,21,Bachelor,Yes,17,8,2,77
2294,Female,25,Associate,No,20,29,1,56
2295,Male,20,High School,Yes,6,0,3,59
2296,Male,21,Master,Yes,3,0,0,49
2297,Female,26,Master,Unknown,17,8,3,48
2298,Female,18,Master,Yes,11,26,1,56
2299,Female,21,High School,No,20,2,4,56
2300,Male,21,Master,Unknown,9,10,0,53
2107,Female,20,Bachelor,Yes,15,26,2,33
